text,label
Review 1: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 2: Terrible film. Waste of time and money. Very disappointed.,negative
Review 3: One of the best movies I've seen this year. Highly recommend!,positive
"Review 4: Boring plot, bad acting. Could not finish watching it.",negative
Review 5: A masterpiece of cinema. The director outdid themselves.,positive
Review 6: Not worth watching. The story made no sense at all.,negative
Review 7: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 8: Terrible film. Waste of time and money. Very disappointed.,negative
Review 9: One of the best movies I've seen this year. Highly recommend!,positive
"Review 10: Boring plot, bad acting. Could not finish watching it.",negative
Review 11: A masterpiece of cinema. The director outdid themselves.,positive
Review 12: Not worth watching. The story made no sense at all.,negative
Review 13: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 14: Terrible film. Waste of time and money. Very disappointed.,negative
Review 15: One of the best movies I've seen this year. Highly recommend!,positive
"Review 16: Boring plot, bad acting. Could not finish watching it.",negative
Review 17: A masterpiece of cinema. The director outdid themselves.,positive
Review 18: Not worth watching. The story made no sense at all.,negative
Review 19: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 20: Terrible film. Waste of time and money. Very disappointed.,negative
Review 21: One of the best movies I've seen this year. Highly recommend!,positive
"Review 22: Boring plot, bad acting. Could not finish watching it.",negative
Review 23: A masterpiece of cinema. The director outdid themselves.,positive
Review 24: Not worth watching. The story made no sense at all.,negative
Review 25: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 26: Terrible film. Waste of time and money. Very disappointed.,negative
Review 27: One of the best movies I've seen this year. Highly recommend!,positive
"Review 28: Boring plot, bad acting. Could not finish watching it.",negative
Review 29: A masterpiece of cinema. The director outdid themselves.,positive
Review 30: Not worth watching. The story made no sense at all.,negative
Review 31: This movie was absolutely fantastic! Great acting and storyline.,positive
Review 32: Terrible film. Waste of time and money. Very disappointed.,negative
Review 33: One of the best movies I've seen this year. Highly recommend!,positive
"Review 34: Boring plot, bad acting. Could not finish watching it.",negative
Review 35: A masterpiece of cinema. The director outdid themselves.,positive
Review 36: Not worth watching. The story made no sense at all.,negative
Review 37: This movie was absolutely fantastic! Great acting and storyline.,positive
