question,answer
"Q1: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q2: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q3: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q4: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q5: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q6: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q7: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q8: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q9: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q10: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q11: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q12: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q13: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q14: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q15: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q16: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q17: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q18: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q19: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q20: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q21: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q22: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q23: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q24: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q25: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q26: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q27: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q28: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q29: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q30: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q31: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q32: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q33: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q34: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q35: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q36: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q37: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q38: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q39: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q40: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q41: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q42: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q43: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q44: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q45: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q46: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q47: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
"Q48: If a train travels 60 miles per hour, how far does it travel in 3 hours?",Distance = 60 × 3 = 180 miles. The answer is 180 miles.
"Q49: If John has 5 apples and gives 2 to Mary, how many apples does John have left?",John has 5 - 2 = 3 apples left. The answer is 3.
Q50: A store sells pencils for $2 each. How much do 7 pencils cost?,7 pencils cost 7 × $2 = $14. The answer is $14.
